week,fantasy_team_id,fantasy_team,opponent_team_id,opponent_team,player_id,player_name,position,lineup_slot,eligible_slots,points,was_started,pro_team,injury_status,injured
1,1,YSK FC,7,Goat's,3059319,Andrew Wiggins,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",69.0,True,MIA,ACTIVE,False
1,1,YSK FC,7,Goat's,4397688,Trey Murphy III,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",77.0,True,NOP,OUT,True
1,1,YSK FC,7,Goat's,6589,Draymond Green,PF,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",96.0,True,GSW,ACTIVE,False
1,1,YSK FC,7,Goat's,3078576,Derrick White,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",113.0,True,BOS,ACTIVE,False
1,1,YSK FC,7,Goat's,4432573,Paolo Banchero,PF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",74.0,True,ORL,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4277905,Trae Young,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",99.0,True,WAS,OUT,True
1,9,ybgcorp,6,Jeremy Lin fan club,3134908,Jakob Poeltl,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",62.0,True,TOR,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4431767,Christian Braun,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",46.0,True,DEN,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4433287,Brandon Miller,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",41.0,True,CHA,OUT,True
1,9,ybgcorp,6,Jeremy Lin fan club,4869342,Dyson Daniels,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",57.0,True,ATL,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4397014,Quentin Grimes,SG,PG,"['SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",49.0,True,PHL,ACTIVE,False
1,9,ybgcorp,6,Jeremy Lin fan club,4066328,Jarrett Allen,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",82.0,True,CLE,ACTIVE,False
