season_year,week,team_id,team_name,actual_points,optimal_points,points_left,efficiency,management_misses
2026,21,2,Phantom Troupe,2740.0,2740.0,0.0,1.0,0
2026,21,3,Kat's Kittens,1246.0,1246.0,0.0,1.0,0
2026,21,4,SKAVALASSKKYYYY,3359.0,3359.0,0.0,1.0,0
2026,21,5,Poole Party,2052.0,2052.0,0.0,1.0,0
2026,21,6,Jeremy Lin fan club,2933.0,2933.0,0.0,1.0,0
2026,21,7,Goat's,2583.0,2583.0,0.0,1.0,0
2026,21,8,Hawk Tuah Demure,3067.0,3067.0,0.0,1.0,0
2026,21,9,ybgcorp,2438.0,2438.0,0.0,1.0,0
2026,21,10,Van Der Linde Gang,2467.0,2467.0,0.0,1.0,0
2026,22,1,YSK FC,2163.0,2163.0,0.0,1.0,0
2026,22,2,Phantom Troupe,2698.0,2698.0,0.0,1.0,0
2026,22,3,Kat's Kittens,1315.0,1315.0,0.0,1.0,0
2026,22,4,SKAVALASSKKYYYY,1974.0,1974.0,0.0,1.0,0
2026,22,5,Poole Party,1196.0,1196.0,0.0,1.0,0
2026,22,6,Jeremy Lin fan club,2763.0,2763.0,0.0,1.0,0
2026,22,7,Goat's,2148.0,2148.0,0.0,1.0,0
2026,22,8,Hawk Tuah Demure,2807.0,2807.0,0.0,1.0,0
2026,22,9,ybgcorp,1637.0,1637.0,0.0,1.0,0
2026,22,10,Van Der Linde Gang,2438.0,2438.0,0.0,1.0,0
